,placeName,placeTags,numPeopleVisited,numPeopleWant,placeDesc,placeShortDesc,placeNearby,placeAdress,placeAlt,placeLong,placeEditors,placePubDate,placeRelatedList,placeRelatedPlace,placeURL
0,City Hall Station,"subways,subterranean,infrastructure,subterranean sites,abandoned,architectural oddities,architecture",1834,8603,"The first New York City subway was built and operated by the Interborough Rapid Transit Company (IRT) and opened on October 27, 1904, to the joy of New York elevated train and streetcar riders.The City Hall station on the IRT local track was lavished with fine architectural details, including glass tiles and large chandeliers. However, the Gustavino vaulted ceilings and skylights were lost on busy commuters, and the stop was one of the least-used in the system. It was the only station that did not have turnstiles installed by 1923, and the nearby Brooklyn Bridge stop was frequented by the express train and closer to connecting streetcars. Because of the curved platform, cars with center doors could not be used at this station unless they had specially modified door controls which allowed just the end doors to be opened. In 1945, the station was closed when platforms along the line were being lengthened to accommodate longer trains, and the number of passengers using this station dwindled to very few.Another factor leading to the decline of the station’s use was the fact that a person boarding the train at City Hall with a station intended destination below City Hall or in Brooklyn would wind up on the uptown platform at the Brooklyn Bridge station. They would then have to go upstairs and down to the downtown platform to continue their journey. It was much easier to walk the short distance at street level to the Brooklyn Bridge station.Up until the late 1990’s the passengers on the Lexington Avenue Local (today’s 6 train) had to disembark from the train at the Brooklyn Bridge stop. That is no longer the case. The skylights have been reopened, and the station lights turned back on. While passengers can not get out of the train and experience the City Hall Station as they once might have, they can stay on the train as it loops around on those tracks and heads back north.The New York City Transit Museum hosts periodic tours of the abandoned station; however, you must be a member of the museum to attend. Check the website for details.","A beautiful and abandoned New York subway station from 1904, complete with chandelier. ","The Sugar House Prison Window,African Burial Ground National Monument,Tunnel Number 3","31 Centre St New York, New York, 10007 United States",40.7134,-74.0046,Rebekah OttoAnnetta BlackAllancharding407wythembisonccharding407ffosterc827MMike HerjefferyAAllanHabicuriousjjrc2692oofftrackplanetmmbisonSeth TeicherwytheAnnetta Blacklittlebrumble,2010-05-08 00:00:00,"African Burial Ground National Monument,Tunnel Number 3,The Sugar House Prison Window,5 Beekman Street","Crystal Palace Subway,Moscow Metro Stations,Rove Tunnel,Klafthmonos Square Parking Structure Fortification Walls",https://www.atlasobscura.com/places/city-hall-station
1,The Winchester Mystery House,"follies and grottoes,outsider architecture,eccentric homes,homes,architectural oddities,architecture",3723,5209,"In 1886 an eccentric woman named Sarah Winchester traveled from New Haven, Connecticut, to San Jose, California, to start a new life. She purchased a small eight-room farmhouse and started a small renovation project that would take 36 years and $5.5 million (in the money of the time), only stopping when she passed away in 1922.By the time she was done, the Winchester Mansion was a modern marvel with indoor plumbing, multiple elevators, a hot shower, and central heating. It had over 160 rooms and 40 bedrooms, 10,000 windows, and even 2 basements. Of course, that’s not all that’s unique about the house. Not all the 2,000 doors can be walked through—one leads to an 8-foot drop to a kitchen sink, another to a 15-foot drop into bushes in the garden below. Staircases lead straight to ceilings, expensive Tiffany stained-glass windows were installed in places where they would get no light, and there are more secret passages than Narnia. A particularly odd delight is a cabinet that, when opened, extends through 30 rooms of the house.No one is quite sure why Mrs. Winchester demanded constant changes to her very large house. Of course, there are stories.The most prevalent story is that Mrs. Winchester was being haunted by the spirits of those killed by the Winchester rifle, which her late husband’s company had invented. After her husband passed away, a psychic told her that to evade the spirits, she would have to move out west, buy a home, and build nonstop. Some theories say she believed that as soon as construction was complete, she would die, while other theories suggest she built the house like a maze in order to keep her paranormal tormentors at bay and lost in the many intricacies of the building. As the theory goes, to avoid them she would sleep in a different bedroom every night and take labyrinthine paths through her own home.A massive earthquake struck the Bay Area in 1906 and toppled the top three stories of the house, damaging the other four stories along with it. Some say Sarah Winchester took this as a sign from the spirits that she was too close to completion and ordered the unfinished front half of the house to be boarded up. Though it’s open now, signs of damage from the earthquake are still clearly visible.In response to the ongoing claims of ghostly encounters and other paranormal phenomena on the property, in the early 1990s the Winchester management had a parapsychologist and paranormal investigator named Christopher Chacon conduct a full-scale scientific assessment of the property. The month-long, round-the-clock investigation included interviewing over 300 people regarding their experiences on the property, and analyzed every aspect of the environment for any unusual phenomena. In 2018, a horror film was made about the infamous house and the spirits that live within.",A peculiar mansion built by the troubled heir to the Winchester gun fortune. ,"Rosicrucian Park,Santana Row Chess Plaza,Rosicrucian Egyptian Museum","525 South Winchester Boulevard San Jose, California, 95128 United States",37.3189,-121.9506,mbisonAvoiding RegretPrestonWCollinDestination aficionadodennygerardbbprincemmarletteduommoonshaeDestination aficionadoLauren LevesqueQQueen Mary Historiandlc31723JFishttrykylaerjefferyttheloniusjazppatricelehockyeemgeedeeCollinddennygerardPPrestonWAvoiding RegretpierrejacquesHHenry,2008-11-21 00:00:00,"Santana Row Chess Plaza,Rosicrucian Park,Rosicrucian Egyptian Museum,John J. Montgomery Obelisk","Casa de Piedra (Stone House),Portmeirion Village,Le Palais Idéal,Whale House",https://www.atlasobscura.com/places/winchester-mystery-house
2,Center for Puppetry Arts,"sesame street,puppets,museums",705,1027,"If you know your Gonzo from your Gelflings, your Statler from your Waldorf, or simply just want to meet Miss Piggy, this is going to be your happy place. Located in midtown Atlanta, the Center for Puppetry Arts houses The Jim Henson Collection, containing the largest presentation of Jim Henson artifacts in the world. Henson was the man behind The Muppets, Sesame Street, Labyrinth, The Dark Crystal and more. The collection is an interactive journey through the history of his most iconic creations, including Miss Piggy, Kermit the Frog, and more. The center is also home to The Global Collection, which celebrates the cultural diversity of puppetry from around the world. This exhibit includes everything from historical puppet art-forms like Vietnamese Water Puppets to Broadway theatre puppets (hello, Lion King!) to modern day Hollywood stop-motion.At the center, you can also watch movies, learn how to make puppets, and attend seasonally themed balls. The Center for Puppetry Arts is a wonderful journey through childhood nostalgia, perfect for the family.",The largest puppetry museum in the USA houses the world's most complete collection of Jim Henson artifacts.  ,"Breman Museum,The Consulate,Atlanta Monetary Museum","1404 Spring St Atlanta, Georgia United States",33.7927,-84.3896,kendallmbaileyMartinandydoesitWe All Pod Down HereCollector of Experiences,2018-11-12 00:00:00,"Breman Museum,Atlanta Monetary Museum,The Consulate,Margaret Mitchell House","Portland Puppet Museum,Museu da Marioneta (Museum of Puppetry),Museo del Burattino,Sansouci Puppet Museum",https://www.atlasobscura.com/places/center-for-puppetry-arts
3,Amityville Horror House,"hoaxes and pseudoscience,haunted,film locations,houses,homes",367,831,"On a cold November night in 1974, Amityville, New York resident Ronald DeFeo Jr. murdered his entire family in cold blood at their 112 Ocean Avenue residence. Totaling six victims, these murders were just the beginning of the story. Although the brutal murders were sensational in their own right it wasn’t until the house was purchased by the Lutz family that the home haunted its way into infamy. The Lutz family only lived in the Dutch Colonial house for less than a month, claiming that they were driven out by relentless paranormal events. Among the many claims made by the Lutz’s were swarms of flies, walls that oozed slime, spectral voices, and multiple sightings of a demonic, pig-like creature. Their account was popularized by a book entitled The Amityville Horror which subsequently spawned a film franchise that continues to produce haunted tales of the house nearly 40 years later. While most of the details of the Lutzs’ story have been refuted, true believers have blamed the haunting on everything from the vengeful spirits of the DeFeos to a Native American burial ground beneath the site. The house itself, with its distinctive gambrels and upper-story windows framing the brick chimney into something like a face, has become a horror icon and may be the distinctive ideal of a “haunted house” in American culture. The house at 112 Ocean Avenue is still a privately owned residence, and while signals of the paranormal have all but disappeared from the site as the years have passed, the memory of its tragic past will linger forever. ",The site of a tragic massacre that spawned a multimedia franchise. ,"The Long Island Puppet Theater,Fire Island Lighthouse,Pilgrim Psychiatric Center","112 Ocean Avenue Amityville, New York, 11701 United States",40.6665,-73.4143,EricGrundhauserMandrewPatinkinlendog666MartinRachelBrittanyZ,2013-10-17 00:00:00,"The Long Island Puppet Theater,Fire Island Lighthouse,Pilgrim Psychiatric Center,Ruins of King Zog's Estate","Conanicut Island Lighthouse,Lovell Health House,The Old Rock House,Georgetown Castle",https://www.atlasobscura.com/places/amityville-horror-house
4,Yuma Territorial Prison,"prisons,crime and punishment",422,833,"On July 1, 1876, the first seven inmates entered the Territorial Prison at Yuma and were locked into the new cells they had built themselves.A total of 3,069 prisoners, including 29 women, lived within these walls during the prison’s thirty-three years of operation. Among the 29 women sentenced to Yuma was 16-year-old Maria Moreno, who shot her brother after he complained about the way she was dancing. There was also Pearl Hart. Pearl and her partner, Joe Boot, committed the last stagecoach robbery in Arizona. They robbed the Globe stage, and were caught very quickly. Joe Boot was sentenced to 30 years, and would later escape. Pearl Hart, after being tried twice, was given five years.The prison was known for its strict rules; weapons, gambling, and fighting were prohibited, as was littering and failing to bathe. Those who broke the rules could be forced to wear the ball and chain and more serious offenders would be sent to the dark cell. The dark cell was basically an excavation in the hillside measuring 15’ by 15’, with a cage in the center.Now a museum, the building houses photographs and colorful exhibits of those who once stayed there and the prison life they had to endure. Visitors can walk through the many cells and view the infamous dark cell.",Walk through the actual strap iron cells and solitary chambers of Arizona Territory’s first prison. ,"Old Plank Road,Felicity, California: Center of the World,Valley of the Names","1 Prison Hill Rd Yuma, Arizona, 85364 United States",32.7266,-114.6144,desertfairymbisonCorpseLady84Avoiding RegretExtreme Road Trip,2010-04-01 00:00:00,"Felicity, California: Center of the World,Valley of the Names,Old Plank Road,Calipatria Flagpole","Buckley's Cave,Palazzo d'Avalos,Oxford Castle & Prison,Napier Prison",https://www.atlasobscura.com/places/yuma-territorial-prison
5,Tempelhof Airport,"architectural oddities,architecture",1485,834,"Tempelhof is Berlin’s oldest civilian airport. Built at a time when air travel was still in its infancy this airport exhibits many properties not found in modern airports.Works on future Tempelhof airport were started in 1923 by the German ministry of transport. At the time air travel was still a novelty, and prevalent idea was that it will be something akin to a railway travel. As railway terminals were most often placed in the centers of cities, location for new Berlin’s airport was chosen at the edge of city’s wider center, at the extensions of its main north-south axis, Frederickstrasse.The original terminal building, built in 1924, was replaced in the Nazi era by the current building designed by Prof. Ernst Sagebiel and the floor plan was designed to resemble an eagle’s spread wings in theme with the Nazi iconography. Construction of the eagle shaped building was interrupted by WWII, but the building is still one of the world’s largest in square footage, after the Parliament Palace built by former communist dictator Ceaucescou in Bucharest, Romania, several newer international airports, and the Pentagon in the US. There are four levels of tunnels and bunkers under Tempelhof airport, the lower two of which were burned and flooded by Russian troops before it was turned over to the US.Another feature of this airport, not found in its modern counterparts, is the giant canopy roof, high enough to accommodate most of the aircraft used by the airport even in the decades after WWII. The aircraft could taxi all the way to the building and under the canopy. Passengers could then board and disembark from the plane protected from the elements. The mile-long hangar roof was to have been laid in bleacher style tiers to form a stadium for spectators at air demonstrations.Tempelhof Airport ended up surrounded by urban development very quickly. Its awkward placement proved lucky for inhabitants of West Berlin, as it served as a drop off point of US organized airlift, during the Soviet blockade of the city in 1948. The airport remained in use throughout the Cold War. The northern half of the airport building was a US air force base until 1993, and many features remain, including the sprung-floor basketball court.  However the bowling alley has since been dismantled.In April of 2008, there was a referendum aimed at keeping Tempelhof Airport operational. However, this attempt at saving the airport failed. Ultimately, the pollution and hazards associated with a major airport in close proximity to residential areas motivated the shutdown of Tempelhof airport. The last commercial flight from Tempelhof happened on 30 October 2008.As of 2010, Templehof has been designated a huge park and public space, as well as bird/animal sanctuary. You can visit and go to Roller Disco or go for a run if you want to escape the hectic city.As of 2018, guided tours have been offered of the airport building several times per week. The entire building ihas been placed under German listed building status, and so provides a fascinating insight into its decades of history.",Berlin's old airport. ,"Schwerbelastungskörper,Café Strauss,Prussian National Monument for the Liberation Wars","Platz der Luftbrücke Berlin, 12101 Germany",52.4838,13.3877,stanestanespinkk d1fea822jetsettingfoolsmichelleCarismarkusosmanoc1mateSenorPancakePPartridgesspinkk d1fea822oosmanoc1jetsettingfoolsCarismarkusppattyannishBlindcolourFFacebook9700288mmbisonmichelle,2009-07-21 00:00:00,"Prussian National Monument for the Liberation Wars,Café Strauss,Schwerbelastungskörper,Museum of Unheard of Things","The Japanese-Style House of Prospect Park South,Herz-Jesu-Kirche,Castillo Pittamiglio,Murtoa Stick Shed",https://www.atlasobscura.com/places/tempelhof-airport
6,American Prohibition Museum,"speakeasies,prohibition,law,food museums,alcohol,museums",368,832,"When the 18th Amendment to the U.S. Constitution outlawed alcohol as a deleterious delectation in 1920, it was the culmination of more than a century of campaigning by the national temperance movement. The American Prohibition Museum in Savannah, Georgia, follows the complex history of this movement, from its early days through the consequences of the 21st Amendment, which ended Prohibition in 1933.Impressively, the museum entertains without being corny and educates without being preachy or pedantic. Visitors are greeted in the entrance by a Model T beer truck and myriad slogans, headlines, and “saloon art” that set the stage for the national debate. To reach the main exhibit halls on the second floor, one must climb a stairwell plastered with quotations on drinking and alcoholism and listen to an evangelical preacher proclaim the evils of liquor in a historical film.Appropriately enough, the museum’s story of Prohibition begins in a saloon, where a mannequin of the famous and fierce temperance advocate Carry Nation wields a hatchet over the bar (Nation was notorious for destroying saloons’ property with the weapon). Meanwhile, history comes alive as performing docents, dressed like barkeeps and flappers, answer questions and share saucy tales.Another exhibit covers the various illegal workarounds to Prohibition with the dark stillness of a moonshiner’s hideaway followed by a well-lit bootlegger tableau replete with weapons confiscated from mobsters. To avoid the gangster racket, you can escape into a nearby speakeasy, if you know the password. Once inside, guests can drink 1920s cocktails while listening to music from the golden age of jazz.The museum is remarkably comprehensive. All the usual suspects from popular perceptions of Prohibition are present, but the museum is also adept at interweaving Savannah’s local history into the chronicle while also revealing the many less obvious effects of Prohibition. For example, the engineering of cars was radically altered and improved as a result of creating faster and stronger bootlegger vehicles to outmaneuver G-men (slang for “government men,” or agents). Meanwhile, speakeasies paved the way for greater racial integration. There were, of course, negative effects, too: Nativism increased as Irish whiskey distillers and German beer brewers were targeted as lawbreakers.","Performers, intricate sets, and a real speakeasy tell the story of the 18th Amendment. ","The Marshall House,The Paris Market,Riverside Plant Hotel","209 W. St. Julian Street Savannah, Georgia United States",32.0806,-81.0946,Edward DennyCollector of ExperiencestheparanormalpariahSchwegleslipetersonRandom GuyRandom GuyttheparanormalpariahbreaingramCollector of ExperienceslleslipetersonSSchweg,2018-11-26 00:00:00,"The Paris Market,Riverside Plant Hotel,The Marshall House,Lucas Theatre","Booze History Museum,Linos tou Charilaou (Omodos Wine Press),Museo del Pulque y las Pulquerías,Van Kleef Museum and Distillery",https://www.atlasobscura.com/places/american-prohibition-museum
7,Center for Lost Objects,"furniture,performances,oddities,taxidermy,collections,art",139,830,"The Center for Lost Objects is an open art studio, curiosity shop, and gallery in Saint Paul, Minnesota. Items like jewelry, upcycled and antique furniture, and even a taxidermy squirrel carrying a pitchfork with a head speared on top fill its collection of unusual finds.The center specializes in unique collectibles and oddball items. It’s a haven for makers and DIY enthusiasts. It holds classes on how to upcycle furniture and hosts pop-up shops that feature pieces from various artists, makers, and collectors.The Center for Lost Objects also hosts monthly live figure drawing sessions, where the model poses in different tableaus made up of the pieces in the store, such as the furniture, candelabras, and bear skin rugs. One model even rode a full mount deer.The large front window doubles as a stage for experimental performances and music. There’s also studio space in its basement for musicians.","An unusual assortment of art, furniture, and other curiosities. ","F. Scott Fitzgerald House,The Nook Basement,Birthplace of F. Scott Fitzgerald ","957 7th St W Saint Paul, Minnesota United States",44.928,-93.1267,Amy BuchananCollector of Experienceslorie shaull,2017-08-10 00:00:00,"F. Scott Fitzgerald House,Birthplace of F. Scott Fitzgerald ,The Nook Basement,School Patrol Flagpole","Studio Payne Art Gallery and Oddities Shop,Creepy's ,Novis Mortem Collective,Cranfield's Curiosity Cabinet",https://www.atlasobscura.com/places/center-for-lost-objects
8,Church of Two Worlds,"death,religion,churches,sacred spaces",135,831,"Followers of the Spiritualist faith believe that the soul continues to exist after the death of the body and that believers can communicate with the dead. Spiritualists believe that the deceased can continue to grow and evolve in the afterlife, and as such we can learn a lot from communicating with them.In a quiet corner of Georgetown in Washington, D.C. you’ll find a Spiritualist house of worship, the Church of Two Worlds, referring of course to the spirit world and our Earthly realm. Housed in a former Methodist church building, it is the oldest Spiritualist church in the district, dating back to 1906. The first thing you notice about the Church of Two Worlds are the stained glass windows. Coupled with the tan brick exterior and lofty wooden doors, it looks like your typical local church. But the Church of Two Worlds is far from typical.Spiritualism reached its peak between the 1840s to the 1920s, reaching some 8 million followers at its height, mostly from the upper class. Today it is considerably more niche: Though the front doors of the Church of Two Worlds lead to a grand, spacious hall, the small audience means meetings are often held in a smaller room in the back.Church attendees receive a book of Spiritualist hymnals which are read from throughout the service. The church also offers healings, a type of Spiritualist ritual, group meditation, and literature on how to build your own private altar at home. Spiritualists believe in the power of their faith to cure diseases and will gladly share advice with visitors. Though it is far from a requirement, attendees sometimes recite mantras and reach out to spirits during a visit to church.",A Spiritualist house of worship where believers communicate with the dead in the spirit world. ,"The Presidential Booths at Martin's Tavern,Gun Barrel Fence,Tudor Place","3038 Q St NW Washington, District of Columbia United States",38.9104,-77.0611,evyatarguttmanBlindcolour,2016-10-11 00:00:00,"Tudor Place,Gun Barrel Fence,The Presidential Booths at Martin's Tavern,Dumbarton Oaks","Chapel of El Rey San Pascual,Allegory of 'The Tree of Life',Ex-Votos of Santuario di Montenero,Crypt of the São Paulo Cathedral",https://www.atlasobscura.com/places/church-of-two-worlds
9,University of Florida Bat Houses,"bats,world's largest,animals",416,830,"The world’s largest occupied bat houses are located on the campus of the University of Florida. Mostly populated by the Brazilian free-tailed bat, the bat house and barn are also home to Southeastern and Evening bats.The original colony of bats was discovered after a fire destroyed Johnson Hall in 1987. The nearly 5,000 bats who had lived there then took up residence at several campus stadium locations. Though the musky odor of the bats and rain of guano during evening games didn’t please fans, it wasn’t until Governor Bob Martinez complained of the odor while attending an athletic event at Griffin Stadium that university officials decided something had to be done.  The first bat house was constructed in 1991. The stadiums were fitted with bat excluders, which allowed the bats to leave but not to return to roost. At first try, approximately 3,000 bats were caught in cages and relocated to the newly built bat house. Most left after only a night or two. In 1995, after years of using excluders at various campus locations and a variety of techniques to get the bats to stay at the house, it was discovered that what had been a small colony of mostly males bats had switched to a large colony of mostly females. Since then, the population has continued to increase. A second structure, the bat barn, was constructed in 2010.  The current population, estimated to be 300,000 bats, consumes more than two tons of insects a night. Observers are encouraged to come on warm, calm nights to watch the 10-20 minute show as the skies cloud with bats.  Viewers are warned that the bats often dip low to gather insects that have been attracted by carbon dioxide-laced exhalations … and to beware of falling urine and guano.",The world's largest occupied bat houses hold hundreds of thousands of flying mammals. ,"'Some Were Quite Blind',34th Street Graffiti Wall,Gainesville Solar Walk","Newins-Ziegler Hall Gainesville, Florida, 32603 United States",29.6454,-82.3457,Mom0jaipingupingdbaptistebreaingrambeesandfishingCollector of Experiences,2016-01-13 00:00:00,"'Some Were Quite Blind',34th Street Graffiti Wall,Gainesville Solar Walk,Tu Viện A Nan ","Nyamunini Island,Woodchester Mansion,World’s Largest Prairie Chicken,Sudwala Caves",https://www.atlasobscura.com/places/university-of-florida-bat-houses
